,Unnamed: 0,PMISYR,SYSTEM,PAVTYP,CONYR,PMIS_LENGTH,LANE_MILES,PCI_2,IRI_INDX,CRACK_INDX,IRI,FRICT,FAULTAV,RUT,CRACK_RATIO,T_INDX,ACRACKH,ACRACKM,ACRACKL,TCRACKH,TCRACKM,TCRACKL,LCRACKH,LCRACKM,LCRACKL,LCRACKWH,LCRACKWM,LCRACKWL,DCRACKH,DCRACKM,DCRACKL,JTSPALLH,JTSPALLM,JTSPALL_LONG,JTSPALL_TRANS,PATCHAB,PATCHAG,PATCHES,AADT,TRUCKS,LANES,SPEED,SURFACE_TYPE,PAVTHICK,TACCDPTH,TPCCDPTH,BASEDPTH,TREATMENT,crash_count
20,20,2022,3,3,1968.0,3.24,6.48,70.0,57.0,79.0,126.88,45.0,0.028624020087217296,0.11,21.25,45.0,58.31092601102941,613.62939906637,334.0,2.0,111.0,275.0,27.3978533461758,572.0,331.0,61.51489311706678,557.0,1116.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,91.0,115.0,3.0,3057.0,216.0,2.0,55.0,65,13.0,4.0,9.0,8.058262907272029,AC,40
21,21,2022,3,3,1927.0,0.35,0.7,49.0,29.0,62.0,188.5,46.0,0.016,0.17,38.31,38.0,58.31092601102941,613.62939906637,978.3758490629483,12.0,159.0,239.0,27.3978533461758,320.0,504.0,179.0,1985.0,1301.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,129.0,392.6735188891561,3.0,3550.0,213.0,2.0,55.0,65,8.5,2.0,7.0,8.058262907272029,AC,11
22,22,2022,3,3,1927.0,0.87,2.03,46.0,32.0,60.0,183.17,41.0,0.0055,0.26,40.3,29.0,58.31092601102941,613.62939906637,1696.0,6.0046654608463035,141.0,361.0,27.3978533461758,1133.0,963.0,21.0,1149.0,1904.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,1853.0,447.0,71.0,5318.0,164.0,2.0,50.0,65,12.5,6.0,7.0,8.058262907272029,AC,43
23,23,2022,3,3,1927.0,0.98,2.05,35.0,12.0,54.0,226.0,41.0,0.028624020087217296,0.26,46.4,10.0,58.31092601102941,67.0,1258.0,6.0046654608463035,108.0,560.0,4.0,1217.0,1462.0,15.0,1317.0,2446.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,5226.0,184.0,109.0,6354.0,194.0,2.0,25.0,65,17.5,11.0,7.0,8.058262907272029,AC,118
24,24,2022,3,3,1934.0,0.56,1.41,57.0,37.0,73.0,171.69,50.4401533018868,0.028624020087217296,0.16,26.74,33.0,58.31092601102941,78.0,978.3758490629483,6.0046654608463035,153.0,310.0,27.3978533461758,246.0,371.0,61.51489311706678,1626.0,1395.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,2754.0,392.6735188891561,32.0,6024.0,239.0,2.0,30.0,65,11.5,5.0,7.0,8.058262907272029,AC,41
25,25,2022,3,3,1948.0,0.31,0.62,62.0,43.0,71.0,157.68,50.4401533018868,0.028624020087217296,0.08,29.35,35.0,58.31092601102941,337.0,99.0,6.0046654608463035,180.0,254.0,27.3978533461758,1286.0,619.0,61.51489311706678,1349.0,732.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,1733.0,392.6735188891561,17.0,3107.0,146.0,2.0,30.0,65,16.0,6.0,10.0,8.058262907272029,AC,16
26,26,2022,3,3,1928.0,0.4,0.8,65.0,58.0,69.0,125.05,50.4401533018868,0.028624020087217296,0.13,31.39,6.0,58.31092601102941,979.0,47.0,6.0046654608463035,410.0,140.0,27.3978533461758,87.0,225.0,61.51489311706678,2293.0,733.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,266.0,209.0,7.0,4800.0,191.0,2.0,30.0,65,13.5,7.0,7.0,8.058262907272029,AC,15
27,27,2022,3,3,1928.0,2.49,4.98,95.0,97.0,99.0,38.98,62.0,0.028624020087217296,0.08,1.46,95.0,58.31092601102941,613.62939906637,978.3758490629483,6.0046654608463035,21.0,9.0,27.3978533461758,43.0,37.0,61.51489311706678,30.0,8.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,39.0,392.6735188891561,13.521466712279867,2990.0,171.0,2.0,55.0,65,18.5,12.0,7.0,8.058262907272029,AC,38
28,28,2022,3,3,1969.0,7.23,14.46,95.0,97.0,99.0,39.24,66.0,0.0005,0.08,1.22,96.0,58.31092601102941,613.62939906637,4.0,6.0046654608463035,13.0,14.0,1.0,237.30891516107968,1.0,61.51489311706678,279.90047538169455,8.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,924.8565434619634,3.0,13.521466712279867,1575.0,132.0,2.0,55.0,65,15.0,6.0,9.0,8.058262907272029,AC,65
29,29,2022,3,3,1969.0,1.01,2.04,94.0,95.0,99.0,42.33,65.0,0.028624020087217296,0.09,1.18,98.0,58.31092601102941,10.0,94.0,6.0046654608463035,5.0,11.0,27.3978533461758,237.30891516107968,34.0,61.51489311706678,18.0,11.0,0.05412946428571429,1.7661576704545454,1.0820983125458548,7.679959515993053,8.805025834638132,,11.092266243472164,294.0,321.0,2.0,1350.0,132.0,2.0,55.0,65,15.0,6.0,9.0,8.058262907272029,AC,3
